Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,NetRtg,ORtg,DRtg,Player-additional
1,Precious Achiuwa,C,23,TOR,55,12,1140,8.5,17.5,0.485,1.3,4.7,0.269,7.2,12.8,0.564,3.8,5.4,0.702,4.3,9.9,14.2,2.2,1.3,1.3,2.6,4.4,22,-1,112,113,achiupr01
2,Steven Adams,C,29,MEM,42,42,1133,6.6,11,0.597,0,0,0,6.6,11,0.599,2,5.4,0.364,9,11.4,20.3,4.1,1.5,1.9,3.3,4.1,15.1,10,118,108,adamsst01
3,Bam Adebayo,C,25,MIA,75,75,2598,11.6,21.4,0.54,0,0.2,0.083,11.5,21.2,0.545,6.2,7.7,0.806,3.5,9.7,13.2,4.6,1.7,1.2,3.6,4,29.3,4,115,111,adebaba01
4,Ochai Agbaji,SG,22,UTA,59,22,1209,6.5,15.3,0.427,3.2,9,0.355,3.3,6.2,0.532,2.2,2.7,0.812,1.7,3.1,4.8,2.6,0.6,0.6,1.6,3.9,18.5,-6,115,121,agbajoc01
5,Santi Aldama,PF,22,MEM,77,20,1682,7,14.8,0.47,2.7,7.5,0.353,4.3,7.3,0.591,3,4.1,0.75,2.4,8.1,10.5,2.7,1.3,1.4,1.7,4,19.7,9,120,111,aldamsa01
6,Nickeil Alexander-Walker,SG,24,TOT,59,3,884,7.1,15.9,0.444,3.3,8.6,0.384,3.8,7.3,0.515,2.2,3.2,0.667,0.8,4.6,5.4,5.8,1.7,1.1,3,4.7,19.6,-7,109,116,alexani01
6,Nickeil Alexander-Walker,SG,24,UTA,36,3,528,7.5,15.4,0.488,3.2,7.9,0.402,4.3,7.5,0.578,2.4,3.5,0.692,0.7,4.6,5.3,6.9,2.2,1.3,4.1,5.2,20.6,-5,111,116,alexani01
6,Nickeil Alexander-Walker,SG,24,MIN,23,0,356,6.4,16.7,0.384,3.5,9.6,0.361,2.9,7.1,0.415,1.7,2.8,0.619,0.9,4.7,5.6,4.3,1.1,0.9,1.3,4,18,-10,106,116,alexani01
7,Grayson Allen,SG,27,MIL,72,70,1972,5.9,13.5,0.44,3.5,8.9,0.399,2.4,4.6,0.518,2.8,3.1,0.905,1.5,4.3,5.7,3.9,1.5,0.3,1.7,2.8,18.2,9,123,114,allengr01
8,Jarrett Allen,C,24,CLE,68,68,2220,9.1,14.1,0.644,0,0.2,0.1,9.1,13.9,0.653,3.7,5,0.733,5,10.1,15,2.6,1.2,1.9,2.1,3.5,21.9,24,132,108,allenja01
9,Jose Alvarado,PG,24,NOP,61,10,1310,7.4,18.1,0.411,3.1,9.1,0.336,4.4,9,0.488,2.4,3,0.813,1,4.2,5.2,6.9,2.5,0.4,3,4.6,20.3,-6,107,113,alvarjo01
10,Kyle Anderson,PF,29,MIN,69,46,1957,6.1,12,0.509,1,2.5,0.41,5.1,9.5,0.536,2.4,3.3,0.735,1.6,7.3,8.9,8.1,1.9,1.5,2.5,3.5,15.7,8,120,112,anderky01
11,Giannis Antetokounmpo,PF,28,MIL,63,63,2024,16.7,30.1,0.553,1.1,4,0.275,15.6,26.1,0.596,11.7,18.2,0.645,3.2,14.3,17.5,8.5,1.2,1.2,5.8,4.6,46.2,9,117,108,antetgi01
12,Thanasis Antetokounmpo,PF,30,MIL,37,0,206,4.6,10.7,0.435,0,1.9,0,4.6,8.8,0.526,2.5,5.1,0.5,3.5,6.7,10.2,3.5,0.7,0.7,2.8,5.1,11.8,-16,98,114,antetth01
13,Cole Anthony,PG,22,ORL,60,4,1552,8.6,19,0.454,2.3,6.4,0.364,6.3,12.6,0.5,4.7,5.3,0.894,1.5,7.5,9,7.3,1.2,1,2.8,4.9,24.3,2,117,115,anthoco01
14,OG Anunoby,SF,25,TOR,67,67,2386,8.7,18.3,0.476,2.9,7.6,0.387,5.8,10.7,0.539,2.9,3.5,0.838,2,4.9,6.9,2.7,2.7,1,2.7,4.1,23.3,0,113,113,anunoog01
15,Ryan Arcidiacono,PG,28,TOT,20,4,172,2.6,10.5,0.243,2.3,6.5,0.348,0.3,4,0.071,0,0,,0,4.3,4.3,6.5,1.4,0,2,4.8,7.4,-35,86,121,arcidry01
15,Ryan Arcidiacono,PG,28,NYK,11,0,26,1.9,9.5,0.2,1.9,5.7,0.333,0,3.8,0,0,0,,0,7.6,7.6,3.8,3.8,0,1.9,5.7,5.7,-38,72,110,arcidry01
15,Ryan Arcidiacono,PG,28,POR,9,4,146,2.7,10.7,0.25,2.3,6.7,0.35,0.3,4,0.083,0,0,,0,3.7,3.7,7,1,0,2,4.7,7.7,-34,88,122,arcidry01
16,Deni Avdija,SF,22,WAS,76,40,2020,6.1,14,0.437,1.7,5.6,0.297,4.4,8.4,0.53,2.9,4,0.739,1.8,10,11.7,5.1,1.6,0.7,3,5,16.8,-8,106,114,avdijde01
17,Deandre Ayton,C,24,PHO,67,67,2035,12.5,21.3,0.589,0.2,0.6,0.292,12.4,20.7,0.597,3.7,4.8,0.76,4.1,11.9,16,2.8,0.9,1.3,2.9,4.6,28.9,8,119,111,aytonde01
18,Udoka Azubuike,C,23,UTA,36,4,359,7.9,9.6,0.819,0,0,,7.9,9.6,0.819,0.9,2.7,0.35,4.1,11.7,15.8,1.5,0.8,2,2.4,4.5,16.6,17,131,114,azubuud01
19,Marvin Bagley III,C,23,DET,42,25,990,9.9,18.7,0.529,0.9,3.2,0.288,9,15.5,0.579,4,5.3,0.75,4.6,8.6,13.2,1.8,0.9,1.5,2.3,4,24.7,-1,117,118,baglema01
20,Patrick Baldwin Jr.,SF,20,GSW,31,0,226,9,22.8,0.394,6.7,17.6,0.381,2.3,5.2,0.44,0.8,1.3,0.667,0.2,8.2,8.4,2.3,1.3,0.8,2.3,2.9,25.5,-13,101,114,baldwpa01
21,LaMelo Ball,PG,21,CHO,36,36,1268,11.1,27.1,0.411,5.4,14.4,0.376,5.7,12.7,0.45,3.8,4.6,0.836,1.6,7.1,8.7,11.4,1.7,0.4,4.8,4.4,31.5,-7,108,115,ballla01
22,Mo Bamba,C,24,TOT,49,7,769,7.3,15.1,0.485,3,7.8,0.387,4.3,7.3,0.59,2.6,3.9,0.661,3.6,10.5,14.1,2.9,0.8,2.7,1.9,6.6,20.3,10,121,111,bambamo01
22,Mo Bamba,C,24,ORL,40,6,681,7.5,15.2,0.495,3.1,7.7,0.398,4.5,7.5,0.594,2.5,3.6,0.686,3.3,9.7,13.1,3,0.9,2.7,1.6,6.1,20.6,13,125,112,bambamo01
22,Mo Bamba,C,24,LAL,9,1,88,5.9,14.5,0.407,2.7,8.6,0.313,3.2,5.9,0.545,3.2,5.9,0.545,5.9,16.2,22.1,2.2,0.5,2.7,4.3,10.2,17.8,-8,100,108,bambamo01
23,Paolo Banchero,PF,20,ORL,72,72,2430,9.5,22.3,0.427,1.7,5.7,0.298,7.8,16.6,0.471,7.8,10.6,0.738,1.7,8.2,9.9,5.4,1.2,0.8,4,3.2,28.6,-9,105,114,banchpa01
24,Desmond Bane,SG,24,MEM,58,58,1841,11.6,24.2,0.479,4.3,10.5,0.408,7.3,13.7,0.534,4.7,5.3,0.883,1.1,6.4,7.5,6.6,1.4,0.6,3.3,3.9,32.2,6,119,113,banede01
25,Dalano Banton,PG,23,TOR,31,2,279,9.7,23,0.423,2.7,9,0.294,7.1,14,0.506,3,4.3,0.708,1.9,6,8,6.4,2.3,2.3,3.2,6,25.2,-7,105,112,bantoda01
26,Dominick Barlow,PF,19,SAS,28,0,408,5.3,10,0.535,0,0.5,0,5.3,9.5,0.561,2.1,2.9,0.72,5.3,6.5,11.8,2.8,1.2,2.2,1.7,6.5,12.7,2,121,119,barlodo01
27,Harrison Barnes,PF,30,SAC,82,82,2662,6.7,14.2,0.473,2.4,6.3,0.374,4.3,7.9,0.553,6.3,7.4,0.847,1.6,5,6.6,2.3,1,0.2,1.5,1.9,22.1,7,126,119,barneha02
28,Scottie Barnes,SF,21,TOR,77,76,2678,8.5,18.8,0.456,1.2,4.1,0.281,7.4,14.6,0.505,3.5,4.5,0.772,3.3,6.1,9.5,6.8,1.5,1.1,2.8,3.1,21.8,-2,113,115,barnesc01
29,RJ Barrett,SG,22,NYK,73,73,2475,10.2,23.5,0.434,2.4,7.8,0.31,7.8,15.7,0.495,5.8,7.8,0.74,1.2,6.2,7.3,4,0.6,0.3,3.3,3.6,28.6,-11,107,118,barrerj01
30,Will Barton,SG,32,TOT,56,2,993,6.8,17.9,0.379,3.2,8.9,0.367,3.5,9.1,0.391,1.8,2.3,0.787,0.7,6,6.7,5.5,1.4,0.6,2.4,2.8,18.6,-15,102,117,bartowi01
30,Will Barton,SG,32,WAS,40,0,782,6.9,17.7,0.386,3.2,8.6,0.377,3.6,9.2,0.395,2.2,2.8,0.778,0.6,6.3,6.9,5.9,1.1,0.6,2.8,2.4,19.1,-16,101,117,bartowi01
30,Will Barton,SG,32,TOR,16,2,211,6.6,18.5,0.354,3.3,9.8,0.333,3.3,8.7,0.378,0.5,0.5,1,1.2,4.9,6.1,4,2.6,0.7,0.7,4,16.9,-9,105,114,bartowi01
31,Charles Bassey,C,22,SAS,35,2,508,8.1,12.6,0.644,0.3,0.7,0.375,7.8,11.8,0.661,2,3.4,0.595,7,11,17.9,4.4,1.5,3.1,3.8,6.9,18.5,6,120,114,bassech01
32,Keita Bates-Diop,PF,27,SAS,67,42,1452,7.7,15.1,0.508,1.8,4.6,0.394,5.9,10.5,0.557,3.9,4.9,0.793,2.1,6,8.1,3.4,1.5,0.7,1.8,2,21,1,121,120,bateske01
33,Nicolas Batum,PF,34,LAC,78,19,1709,4.6,10.9,0.42,3.6,9.1,0.391,1,1.8,0.563,1,1.4,0.708,1.8,6.8,8.6,3.5,1.5,1.3,1.4,4.3,13.7,6,120,114,batumni01
34,Darius Bazley,C,22,TOT,43,1,616,6.4,14.2,0.454,1.5,4.1,0.377,4.9,10.1,0.485,2.9,5.4,0.543,2.6,8,10.7,2.9,1.7,2.6,2.1,3.4,17.3,-4,107,111,bazleda01
34,Darius Bazley,C,22,OKC,36,1,555,6.1,13.5,0.449,1.5,3.9,0.4,4.5,9.7,0.469,3.1,5.6,0.554,2.5,8,10.4,2.7,1.6,2.5,1.9,3,16.8,-3,108,111,bazleda01
34,Darius Bazley,C,22,PHO,7,0,61,9.6,20,0.48,1.6,6.4,0.25,8,13.6,0.588,1.6,4,0.4,4,8.8,12.8,4.8,2.4,4,4,7.2,22.4,-5,101,106,bazleda01
35,Bradley Beal,SG,29,WAS,50,50,1673,12.9,25.6,0.506,2.3,6.4,0.365,10.6,19.2,0.552,5.6,6.6,0.842,1.2,4.5,5.7,7.9,1.3,1,4.2,3.1,33.8,-3,114,117,bealbr01
36,Malik Beasley,SG,26,TOT,81,27,2093,8.4,21.3,0.395,5.4,15,0.357,3.1,6.4,0.484,1.1,1.5,0.769,0.8,5.6,6.4,2.8,1.5,0.2,2,2.4,23.3,-12,105,117,beaslma01
36,Malik Beasley,SG,26,UTA,55,13,1472,8.6,21.7,0.396,5.5,15.3,0.359,3.1,6.4,0.485,1.2,1.4,0.841,0.9,5.5,6.4,3,1.4,0.3,1.9,2.4,23.9,-11,107,118,beaslma01
36,Malik Beasley,SG,26,LAL,26,14,621,8,20.4,0.392,5,14.3,0.353,3,6.2,0.481,1,1.6,0.619,0.6,6,6.6,2.4,1.6,0.1,2.3,2.4,22.1,-16,99,115,beaslma01
37,MarJon Beauchamp,SF,22,MIL,52,11,701,6.5,16.6,0.395,3.2,9.7,0.331,3.3,6.9,0.485,1.8,2.5,0.73,2.6,5.2,7.8,2.4,1.4,0.5,3.1,4.8,18.1,-14,99,113,beaucma01
38,D?vis Bert?ns,PF,30,DAL,45,1,492,7,16.2,0.431,5.6,14.2,0.39,1.4,1.9,0.737,1.3,1.5,0.867,1,4.3,5.4,2.1,1.1,0.8,1,5.4,20.8,2,120,118,bertada01
39,Patrick Beverley,SG-PG,34,TOT,67,67,1816,3.8,9.5,0.4,2.1,6.3,0.335,1.7,3.2,0.529,1.2,1.7,0.723,1.2,5.3,6.5,5.1,1.7,1.1,1.6,4.9,10.9,0,113,113,beverpa01
39,Patrick Beverley,SG,34,LAL,45,45,1211,3.8,9.4,0.402,2.2,6.2,0.348,1.6,3.2,0.506,1.5,2,0.78,0.9,4.5,5.5,4.6,1.6,1,1.6,4.9,11.3,-3,112,115,beverpa01
39,Patrick Beverley,PG,34,CHI,22,22,605,3.8,9.6,0.395,2,6.5,0.309,1.8,3.1,0.579,0.6,1.2,0.533,1.6,7,8.6,6.1,1.9,1.3,1.4,5.1,10.2,3,114,111,beverpa01
40,Saddiq Bey,SF,23,TOT,77,37,2129,8,18.9,0.422,3.4,9.5,0.361,4.6,9.5,0.483,4.6,5.4,0.861,2.2,6,8.2,2.7,1.6,0.3,1.6,2.8,24.1,-2,117,119,beysa01
40,Saddiq Bey,SF,23,DET,52,30,1500,7.9,19.6,0.404,3.3,9.5,0.345,4.7,10.1,0.46,5.8,6.8,0.861,1.9,5.9,7.8,2.7,1.6,0.4,1.7,2.8,24.9,-4,115,119,beysa01
40,Saddiq Bey,SF,23,ATL,25,7,629,8.2,17.4,0.47,3.8,9.5,0.4,4.4,8,0.552,1.9,2.2,0.862,3,6.1,9.1,2.6,1.5,0.1,1.3,2.8,22.1,7,124,117,beysa01
41,Khem Birch,C,30,TOR,20,0,162,5.8,9.8,0.594,0.3,0.6,0.5,5.5,9.2,0.6,1.2,1.5,0.8,2.4,5.2,7.6,2.1,1.5,1.5,2.4,7.3,13.1,-2,113,115,birchkh01
42,Goga Bitadze,C,23,TOT,38,1,457,7.2,13.1,0.552,0.6,2.7,0.231,6.6,10.4,0.636,2.4,4.4,0.548,6.4,8,14.4,4.1,1.7,2.7,2.3,6.7,17.5,11,123,112,bitadgo01
42,Goga Bitadze,C,23,IND,21,0,202,6.3,12.2,0.519,0.9,3.3,0.286,5.4,8.9,0.605,2.6,5.6,0.458,5.9,5.6,11.5,4.2,2.1,2.4,2.8,8,16.2,0,115,115,bitadgo01
42,Goga Bitadze,C,23,ORL,17,1,255,8,13.8,0.575,0.4,2.3,0.167,7.6,11.6,0.656,2.3,3.4,0.667,6.8,9.9,16.7,4,1.3,3,1.9,5.7,18.6,19,129,110,bitadgo01
43,Bismack Biyombo,C,30,PHO,61,14,874,6.7,11.5,0.578,0,0,,6.7,11.5,0.578,1.4,3.9,0.357,5,9.6,14.5,3.1,1,4.9,2.9,6.4,14.7,1,109,108,biyombi01
44,Buddy Boeheim,SF,23,DET,10,0,90,2.7,14.5,0.185,2.2,13.5,0.16,0.5,1.1,0.5,1.1,1.1,1,1.1,2.2,3.2,2.2,1.1,0,0,3.2,8.6,-46,77,123,boehebu01
45,Bogdan Bogdanovi?,SG,30,ATL,54,9,1508,8.6,19.3,0.447,4.6,11.4,0.406,4,7.9,0.506,2,2.4,0.831,0.7,4.5,5.2,4.7,1.4,0.6,2.1,2.7,23.9,-1,117,118,bogdabo01
46,Bojan Bogdanovi?,PF,33,DET,59,59,1893,11,22.6,0.488,3.7,9,0.411,7.3,13.5,0.539,6.9,7.8,0.884,0.9,4.8,5.7,3.9,0.9,0.2,3.5,2.9,32.6,-4,118,122,bogdabo02
47,Bol Bol,PF,23,ORL,70,33,1505,8.4,15.4,0.546,1,3.6,0.265,7.4,11.7,0.633,2.6,3.5,0.759,2.2,10.8,13,2.2,1,2.7,3.6,3,20.4,-5,106,111,bolbo01
48,Leandro Bolmaro,SF,22,UTA,14,0,68,2.1,14,0.15,0,2.8,0,2.1,11.2,0.188,0,0,,2.8,2.1,4.9,4.9,2.1,0.7,4.9,7,4.2,-68,50,118,bolmale01
49,Devin Booker,SG,26,PHO,53,53,1835,14,28.4,0.494,3,8.4,0.351,11.1,20,0.554,8.1,9.5,0.855,1.2,5.2,6.4,7.8,1.4,0.5,3.9,4.2,39.2,4,119,115,bookede01
50,Brandon Boston Jr.,SF,21,LAC,22,1,248,10.1,24.1,0.418,2.4,5.7,0.414,7.7,18.4,0.419,5.7,7.5,0.763,1.4,4.5,5.9,4,1.8,0,2.4,4.1,28.2,-11,105,116,bostobr01
51,Chris Boucher,PF,30,TOR,76,0,1523,8.5,17.2,0.493,2,6.1,0.328,6.5,11,0.585,4.2,5.5,0.762,5.1,8.6,13.7,0.9,1.5,2.1,1.3,4.6,23.1,13,125,112,bouchch01
52,James Bouknight,SG,22,CHO,34,0,515,6.4,17.8,0.358,3.1,10.1,0.303,3.3,7.8,0.429,1.8,2.8,0.667,0.7,5.9,6.7,3.8,1.3,0.5,3,4.5,17.7,-27,90,117,bouknja01
53,Jamaree Bouyea,PG,23,TOT,5,0,71,4.2,9.8,0.429,1.4,4.2,0.333,2.8,5.6,0.5,0.7,1.4,0.5,0.7,3.5,4.2,2.8,2.8,1.4,2.8,4.2,10.5,-23,89,112,bouyeja01
53,Jamaree Bouyea,PG,23,MIA,4,0,65,4.6,10,0.462,1.5,3.8,0.4,3.1,6.1,0.5,0.8,1.5,0.5,0.8,3.1,3.8,3.1,3.1,1.5,3.1,3.8,11.5,-18,93,111,bouyeja01
53,Jamaree Bouyea,PG,23,WAS,1,0,6,0,8.1,0,0,8.1,0,0,0,,0,0,,0,8.1,8.1,0,0,0,0,8.1,0,-119,0,119,bouyeja01
54,Tony Bradley,C,25,CHI,12,0,33,8.9,17.7,0.5,4.4,7.4,0.6,4.4,10.3,0.429,5.9,5.9,1,1.5,14.8,16.2,1.5,1.5,1.5,1.5,3,28,25,132,107,bradlto01
55,Malaki Branham,SG,19,SAS,66,32,1550,8.2,18.6,0.44,2.3,7.8,0.302,5.9,10.8,0.539,1.8,2.1,0.829,0.9,4.7,5.5,3.9,1,0.2,2.3,3.5,20.5,-20,103,123,branhma01
56,Jarrell Brantley,PF,26,UTA,4,0,39,9.8,17.1,0.571,4.9,11,0.444,4.9,6.1,0.8,2.4,2.4,1,1.2,6.1,7.3,3.7,0,2.4,2.4,3.7,26.9,16,134,118,brantja01
57,Christian Braun,SG,21,DEN,76,6,1181,5.9,12,0.495,1.4,4,0.354,4.5,8,0.565,1.7,2.7,0.625,2,5.5,7.5,2.4,1.7,0.7,1.4,4.2,14.9,-1,114,115,braunch01
58,Mikal Bridges,SF-SG,26,TOT,83,83,2963,9.8,20.9,0.468,2.8,7.3,0.382,7,13.6,0.514,5.2,5.8,0.895,1.3,4.7,6,4.5,1.5,1,2.1,2.6,27.6,3,118,115,bridgmi01
58,Mikal Bridges,SF,26,PHO,56,56,2040,8.5,18.3,0.463,2.4,6.3,0.387,6.1,12.1,0.503,3.7,4.2,0.897,1.3,4.5,5.8,4.8,1.6,1.1,1.9,2.8,23.1,4,118,114,bridgmi01
58,Mikal Bridges,SG,26,BRK,27,27,923,12.6,26.6,0.475,3.6,9.6,0.376,9,17,0.531,8.5,9.5,0.894,1.2,5.2,6.4,3.8,1.4,0.8,2.6,2.3,37.3,1,117,116,bridgmi01
59,Oshae Brissett,PF,24,IND,65,2,1083,5.4,14,0.386,2.1,6.8,0.31,3.3,7.2,0.457,4.6,6.4,0.717,2.7,6.8,9.6,1.9,1.4,0.6,1.5,3.5,17.4,-8,110,118,brissos01
60,Malcolm Brogdon,PG,30,BOS,67,0,1744,9.9,20.5,0.484,3.7,8.3,0.444,6.2,12.2,0.51,4.5,5.1,0.87,1.2,6.7,7.8,6.9,1.3,0.5,2.7,3,28,9,122,113,brogdma01
61,Dillon Brooks,SF,27,MEM,73,73,2214,8.4,21.3,0.396,3.1,9.4,0.326,5.3,11.8,0.451,2.6,3.3,0.779,1,4.3,5.2,4.1,1.4,0.3,2.2,5.1,22.5,-12,102,114,brookdi01
