PLAYER,Team(s),Pos,MP,Off,Def,Tot,WAR
Nikola Jokic'21-'22,Nuggets,C,"2,647",8.5,6.1,14.6,23.9
Jayson Tatum'21-'22,Celtics,SF,"3,714",4,1.6,5.5,15.8
Giannis Antetokounmpo'21-'22,Bucks,"SF, PF, C","2,652",5.6,2.5,8.1,15
Stephen Curry'21-'22,Warriors,PG,"2,975",6.2,0.6,6.8,14.9
Joel Embiid'21-'22,76ers,C,"2,682",3.6,4.2,7.8,14.5
Luka Doncic'21-'22,Mavericks,"PG, SG, SF","2,853",5.7,0.6,6.4,13.6
Jimmy Butler'21-'22,Heat,"SG, SF","2,560",4.7,1.3,6,11.6
Rudy Gobert'21-'22,Jazz,C,"2,317",0.1,6.8,6.9,11.4
Jrue Holiday'21-'22,Bucks,"PG, SG","2,670",3.6,1.2,4.8,10.3
Al Horford'21-'22,Celtics,"PF, C","2,820",0.6,3.7,4.3,10.2
Fred VanVleet'21-'22,Raptors,SG,"2,602",3.4,1.1,4.5,9.6
Devin Booker'21-'22,Suns,SG,"2,711",4.1,0,4.1,9.5
Mikal Bridges'21-'22,Suns,"SG, SF, PF","3,354",1.8,0.9,2.7,9.4
Trae Young'21-'22,Hawks,PG,"2,838",6.7,-3,3.7,9.4
Desmond Bane'21-'22,Grizzlies,"SG, SF","2,694",3.1,0.9,4,9.3
Darius Garland'21-'22,Cavaliers,PG,"2,430",4.8,-0.3,4.5,9
Chris Paul'21-'22,Suns,PG,"2,587",4.4,-0.3,4,9
Jaylen Brown'21-'22,Celtics,"SG, SF","3,140",1.7,1,2.7,8.9
Marcus Smart'21-'22,Celtics,SG,"3,056",1.2,1.6,2.8,8.8
Derrick White'21-'22,Celtics,"PG, SG","2,784",0.4,3.1,3.5,8.8
Bam Adebayo'21-'22,Heat,C,"2,439",0,3.8,3.9,8.3
Kevin Durant'21-'22,Nets,PF,"2,223",4.4,0.1,4.5,8.3
LeBron James'21-'22,Lakers,"PG, SF, PF","2,084",4.6,0.1,4.7,8
Jalen Brunson'21-'22,Mavericks,PG,"3,153",2.7,-0.5,2.1,7.8
Andrew Wiggins'21-'22,Warriors,"SF, PF","3,096",0.2,1.9,2.1,7.8
Ja Morant'21-'22,Grizzlies,PG,"2,227",5,-1,3.9,7.7
Dorian Finney-Smith'21-'22,Mavericks,"SF, PF","3,332",1,0.6,1.5,7.3
James Harden'21-'22,76ers,"PG, SG","2,898",3.5,-1.5,2.1,7.2
Terry Rozier'21-'22,Hornets,"PG, SG","2,458",2.7,0.2,3,7.2
Robert Williams III'21-'22,Celtics,C,"2,198",0.6,3,3.7,7.2
Draymond Green'21-'22,Warriors,PF,"2,032",-1,4.8,3.8,7
Dejounte Murray'21-'22,Spurs,PG,"2,366",3.1,0,3,7
Domantas Sabonis'21-'22,Kings,"PF, C","2,136",1.4,2.3,3.7,7
Kyle Lowry'21-'22,Heat,PG,"2,428",1.6,1.2,2.8,6.9
Jakob Poeltl'21-'22,Spurs,C,"1,970",1.6,2.4,4,6.8
Karl-Anthony Towns'21-'22,Timberwolves,C,"2,698",3.3,-1.2,2.1,6.8
Mike Conley'21-'22,Jazz,PG,"2,232",2.1,1.2,3.2,6.7
Jarrett Allen'21-'22,Cavaliers,C,"1,809",0.2,4.1,4.3,6.5
Gary Payton II'21-'22,Warriors,SG,"1,450",1.4,4.6,6,6.5
Miles Bridges'21-'22,Hornets,"SF, PF","2,837",1.7,0,1.7,6.4
CJ McCollum'21-'22,Pelicans,SG,"2,379",3.1,-0.6,2.5,6.4
Pascal Siakam'21-'22,Raptors,PF,"2,838",1.9,-0.2,1.7,6.4
Anthony Edwards'21-'22,Timberwolves,SF,"2,693",1.8,0,1.8,6.3
Alec Burks'21-'22,Knicks,"SG, SF","2,318",1.1,1.4,2.5,6.2
DeMar DeRozan'21-'22,Bulls,"SG, SF, PF","2,946",3.6,-2.3,1.4,6.2
Jaren Jackson Jr.'21-'22,Grizzlies,"PF, C","2,458",-0.2,2.3,2.1,6.2
LaMelo Ball'21-'22,Hornets,"PG, SG","2,422",2.7,-0.7,2.1,6.1
Jordan Clarkson'21-'22,Jazz,"PG, SG","2,311",2.8,-0.4,2.4,6.1
Tyrese Haliburton'21-'22,Pacers,"PG, SG","2,695",2.8,-1.1,1.7,6.1
Donovan Mitchell'21-'22,Jazz,"PG, SG","2,495",4.7,-2.7,2,6.1
Immanuel Quickley'21-'22,Knicks,PG,"1,802",2.4,1.5,3.9,6
Cameron Johnson'21-'22,Suns,"SF, PF","2,050",1,1.7,2.7,5.8
Clint Capela'21-'22,Hawks,C,"2,082",0.6,2.1,2.7,5.7
Kevon Looney'21-'22,Warriors,"PF, C","2,180",-0.1,2.4,2.4,5.7
Bobby Portis'21-'22,Bucks,"PF, C","2,326",0.4,1.6,2,5.7
P.J. Tucker'21-'22,Heat,"SF, PF, C","2,490",-0.6,2.3,1.7,5.7
Herbert Jones'21-'22,Pelicans,"SF, PF","2,561",-1.2,2.6,1.5,5.5
Royce O'Neale'21-'22,Jazz,"SG, SF","2,594",0.2,1.2,1.4,5.5
Jordan Poole'21-'22,Warriors,"PG, SG","2,889",2,-1.1,0.9,5.5
Max Strus'21-'22,Heat,"SG, SF","2,110",2,0.3,2.3,5.5
Patrick Beverley'21-'22,Timberwolves,"PG, SG, SF","1,670",1.7,1.9,3.6,5.4
Steven Adams'21-'22,Grizzlies,C,"2,113",1.7,0.5,2.1,5.3
Spencer Dinwiddie'21-'22,Mavericks,"PG, SG","2,481",1.9,-0.5,1.4,5.3
Mitchell Robinson'21-'22,Knicks,C,"1,848",0.5,2.4,2.9,5.3
Jonas Valanciunas'21-'22,Pelicans,C,"2,415",1,0.5,1.6,5.3
Alex Caruso'21-'22,Bulls,"PG, SG","1,260",0.4,5,5.3,5.2
Garrison Mathews'21-'22,Rockets,"SG, SF","1,712",1.1,1.9,3,5.1
Scottie Barnes'21-'22,Raptors,SF,"2,750",0.1,0.7,0.8,5
Bogdan Bogdanovic'21-'22,Hawks,"SG, SF","1,955",2.8,-0.6,2.2,5
D'Angelo Russell'21-'22,Timberwolves,"PG, SG","2,273",2.3,-0.8,1.6,5
Franz Wagner'21-'22,Magic,SF,"2,429",0.5,0.8,1.3,5
Jusuf Nurkic'21-'22,Trail Blazers,C,"1,579",-0.2,3.4,3.2,4.8
Otto Porter Jr.'21-'22,Warriors,"SF, PF","1,767",0.8,1.8,2.5,4.8
Jarred Vanderbilt'21-'22,Timberwolves,"SF, PF","2,009",0.1,1.7,1.9,4.7
Brandon Clarke'21-'22,Grizzlies,"PF, C","1,542",1.3,1.7,3,4.6
Robert Covington'21-'22,Clippers,"SF, PF","1,940",-0.7,2.6,1.9,4.6
Shai Gilgeous-Alexander'21-'22,Thunder,"PG, SG, SF","1,942",2.8,-0.9,1.9,4.6
De'Anthony Melton'21-'22,Grizzlies,"PG, SG","1,827",0.2,1.9,2.1,4.6
