PLAYER,Team(s),Pos,G,MP,Off,Def,Tot,WAR
Nikola Jokic'22-'23,Nuggets,C,"3,112",9,9.5,3.7,13.2,25.9
Joel Embiid'22-'23,76ers,C,"2,620",4,3.7,4.1,7.8,14.2
Jimmy Butler'22-'23,Heat,"SG, SF","3,012",6.4,5.5,0.7,6.2,13.8
Luka Doncic'22-'23,Mavericks,"PG, SG, SF","2,391",8.9,8.3,-0.4,7.8,13
Anthony Davis'22-'23,Lakers,"PF, C","2,512",2.4,2.5,4.7,7.2,12.9
Jayson Tatum'22-'23,Celtics,SF,"3,531",4.3,4.5,-0.3,4.2,12.6
Stephen Curry'22-'23,Warriors,PG,"2,434",7.3,7.5,-1.2,6.3,11.5
Damian Lillard'22-'23,Trail Blazers,PG,"2,107",9.4,9.3,-1.5,7.8,11.5
Jalen Brunson'22-'23,Knicks,PG,"2,822",5.1,5.7,-1,4.8,10.9
Derrick White'22-'23,Celtics,"PG, SG","2,912",1.7,1.9,2.5,4.4,10.7
Jrue Holiday'22-'23,Bucks,"PG, SG","2,374",2.9,3.6,2.1,5.7,10.3
Donovan Mitchell'22-'23,Cavaliers,"PG, SG","2,639",6.2,5.8,-1.1,4.7,10.1
Devin Booker'22-'23,Suns,SG,"2,294",5.6,6,-0.4,5.6,10
Kyrie Irving'22-'23,Mavericks,PG,"2,241",5.7,5.6,0.4,6,10
Fred VanVleet'22-'23,Raptors,SG,"2,535",3.7,3.8,1.2,5,10
Shai Gilgeous-Alexander'22-'23,Thunder,"PG, SG, SF","2,416",5.4,5,0.2,5.2,9.9
James Harden'22-'23,76ers,"PG, SG","2,562",5.4,4.8,0,4.8,9.8
Trae Young'22-'23,Hawks,PG,"2,771",5.8,4.9,-0.9,3.9,9.8
Darius Garland'22-'23,Cavaliers,PG,"2,636",3.4,3.6,0.7,4.2,9.4
LeBron James'22-'23,Lakers,"PG, SF, PF","2,573",4.1,4.3,0,4.3,9.4
Jamal Murray'22-'23,Nuggets,"PG, SG","2,932",3.6,3.6,-0.2,3.3,9.3
Austin Reaves'22-'23,Lakers,"PG, SG, SF","2,422",2.8,3,1.6,4.6,9.2
Brook Lopez'22-'23,Bucks,C,"2,555",-1,-0.7,5,4.2,9.1
Ja Morant'22-'23,Grizzlies,PG,"2,135",5.2,4.5,1,5.5,9
Giannis Antetokounmpo'22-'23,Bucks,"SF, PF, C","2,115",3.4,3.4,2,5.4,8.9
Kawhi Leonard'22-'23,Clippers,"SG, SF","1,828",4.6,4.9,1.9,6.8,8.8
Kevin Durant'22-'23,Suns,"SF, PF","2,138",4.5,4.8,0.2,5,8.6
Lauri Markkanen'22-'23,Jazz,"SF, PF","2,273",3.6,3.5,1,4.5,8.5
Domantas Sabonis'22-'23,Kings,"PF, C","2,979",2.2,2.5,0.3,2.8,8.4
Tyrese Haliburton'22-'23,Pacers,"PG, SG","1,883",6.8,6.9,-1,5.9,8.3
Kristaps Porzingis'22-'23,Wizards,"PF, C","2,120",2.8,3.1,1.7,4.8,8.2
Anthony Edwards'22-'23,Timberwolves,"SG, SF","3,041",1.6,2,0.3,2.3,8
Josh Hart'22-'23,Knicks,SF,"2,807",0.5,1.2,1.6,2.8,7.9
Immanuel Quickley'22-'23,Knicks,PG,"2,519",1.9,1,2.4,3.4,7.8
Aaron Gordon'22-'23,Nuggets,PF,"2,768",0.7,1.8,0.8,2.7,7.7
Kevon Looney'22-'23,Warriors,"PF, C","2,283",0.5,1.2,2.7,3.9,7.7
Paul George'22-'23,Clippers,"SG, SF","1,939",2.7,3.1,1.7,4.8,7.5
DeMar DeRozan'22-'23,Bulls,"SG, SF, PF","2,682",2.6,2.2,0.4,2.6,7.4
Draymond Green'22-'23,Warriors,PF,"2,664",-1.9,-1,3.5,2.6,7.4
De'Aaron Fox'22-'23,Kings,PG,"2,705",4.5,4.4,-1.9,2.5,7.3
Franz Wagner'22-'23,Magic,"SF, PF","2,609",0.7,0.8,1.8,2.7,7.2
Bam Adebayo'22-'23,Heat,C,"3,448",-1.9,-1.3,2.5,1.2,7
Alex Caruso'22-'23,Bulls,"PG, SG","1,575",-0.5,-0.1,6.1,6,7
Mikal Bridges'22-'23,Nets,"SG, SF, PF","3,120",1.7,1.3,0.2,1.5,6.7
Kentavious Caldwell-Pope'22-'23,Nuggets,"SG, SF","3,052",-0.3,0.6,0.9,1.5,6.7
Desmond Bane'22-'23,Grizzlies,"SG, SF","2,072",3,3.3,0,3.3,6.4
Al Horford'22-'23,Celtics,"PF, C","2,539",-0.5,0,2,2,6.2
Tim Hardaway Jr.'22-'23,Mavericks,"SG, SF","2,152",0.4,1.1,1.7,2.7,6
Jaren Jackson Jr.'22-'23,Grizzlies,"PF, C","2,007",0.3,0.5,2.6,3.1,6
Nic Claxton'22-'23,Nets,C,"2,388",-1.6,-0.4,2.4,2,5.7
Mike Conley'22-'23,Timberwolves,PG,"2,212",2.4,2.5,-0.1,2.3,5.7
Buddy Hield'22-'23,Pacers,"SG, SF","2,482",1.5,1.8,-0.1,1.7,5.7
Tyrese Maxey'22-'23,76ers,"PG, SG","2,439",2.3,2.5,-0.7,1.8,5.7
Marcus Smart'22-'23,Celtics,"PG, SG","2,636",0.6,0.7,0.7,1.4,5.7
Trey Murphy III'22-'23,Pelicans,SG,"2,448",1.4,1.4,0.4,1.7,5.6
Harrison Barnes'22-'23,Kings,"SF, PF","2,858",0.5,0.6,0.4,1,5.5
Zach LaVine'22-'23,Bulls,"PG, SG","2,768",2.6,2.3,-1.1,1.2,5.5
Mitchell Robinson'22-'23,Knicks,C,"1,889",0,0.7,2.3,3,5.5
Clint Capela'22-'23,Hawks,C,"1,881",0.2,0.6,2.4,2.9,5.4
Herbert Jones'22-'23,Pelicans,"SG, SF, PF","1,951",-1.5,-0.8,3.5,2.7,5.4
Julius Randle'22-'23,Knicks,PF,"3,067",1.9,2,-1.3,0.8,5.4
Donte DiVincenzo'22-'23,Warriors,SG,"2,129",0,-0.3,2.5,2.1,5.3
Rudy Gobert'22-'23,Timberwolves,C,"2,325",-1.6,-1.7,3.5,1.8,5.3
Walker Kessler'22-'23,Jazz,C,"1,703",0.1,0.3,3.1,3.4,5.3
Luguentz Dort'22-'23,Thunder,"PG, SG","2,272",-1.3,-0.8,2.5,1.7,5.2
Alperen Sengun'22-'23,Rockets,C,"2,171",-0.3,0.6,1.3,1.9,5.2
O.G. Anunoby'22-'23,Raptors,SF,"2,386",-0.9,-0.8,2.2,1.4,5.1
Caris LeVert'22-'23,Cavaliers,"SG, SF","2,407",0.2,-0.4,1.7,1.3,5
Chris Paul'22-'23,Suns,PG,"2,139",2.4,2.2,-0.3,1.9,5
Jarrett Allen'22-'23,Cavaliers,C,"2,411",-1.3,-0.5,1.7,1.2,4.9
Spencer Dinwiddie'22-'23,Nets,"PG, SG","2,884",2.1,1.7,-1.1,0.6,4.9
De'Anthony Melton'22-'23,76ers,PG,"2,424",0.2,-0.1,1.3,1.2,4.9
Jaylen Brown'22-'23,Celtics,"SG, SF","3,156",0.6,-0.1,0.3,0.2,4.8
Kyle Lowry'22-'23,Heat,PG,"2,317",1,1,0.3,1.3,4.8
Caleb Martin'22-'23,Heat,"SF, PF","2,771",-1.4,-1,1.5,0.5,4.7
Scottie Barnes'22-'23,Raptors,"SF, PF","2,678",-0.4,0.1,0.5,0.6,4.6
Tre Jones'22-'23,Spurs,PG,"1,984",1,1.2,0.7,1.8,4.6
Bogdan Bogdanovic'22-'23,Hawks,"SG, SF","1,665",2.7,3.1,-0.6,2.5,4.5
